Location,type,m,lat,long,elr
http://purl.org/rail/resource/TCLocationSPTCHLL2,http://purl.org/rail/is/TCLocation,66.26,52.17666667,-2.14,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationSPTCHLL,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationSPTCHLL1,http://purl.org/rail/is/TCLocation,69.13666667,52.14,-2.13,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationSPTCHLL2,http://purl.org/rail/is/TCLocation,72.01333333,52.1,-2.12,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationECKNGTL,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationECKNGTL1,http://purl.org/rail/is/TCLocation,76.36333333,52.04,-2.106666667,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationECKNGTL2,http://purl.org/rail/is/TCLocation,77.83666667,52.02,-2.103333333,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationASHCMOD,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationASHCMOD1,http://purl.org/rail/is/TCLocation,79.36333333,51.99666667,-2.1,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationASHCMOD2,http://purl.org/rail/is/TCLocation,79.41666667,51.99333333,-2.1,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationASHCHRC,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationASHCHRC1,http://purl.org/rail/is/TCLocation,79.56333333,51.99,-2.1,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationASHCHRC2,http://purl.org/rail/is/TCLocation,79.65666667,51.99,-2.1,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationASHCWGF,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationASHCWGF1,http://purl.org/rail/is/TCLocation,81.84,51.96,-2.096666667,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationASHCWGF2,http://purl.org/rail/is/TCLocation,83.93,51.93,-2.093333333,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationCHLTNHS,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationCHLTNHS1,http://purl.org/rail/is/TCLocation,86.09666667,51.9,-2.09,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationCHLTNHS2,http://purl.org/rail/is/TCLocation,86.17333333,51.9,-2.09,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationCHLTALC,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationCHLTALC1,http://purl.org/rail/is/TCLocation,86.3,51.9,-2.09,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationCHLTALC2,http://purl.org/rail/is/TCLocation,86.35,51.9,-2.09,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationALSTONS,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationALSTONS1,http://purl.org/rail/is/TCLocation,86.50666667,51.89666667,-2.09,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationALSTONS2,http://purl.org/rail/is/TCLocation,86.61333333,51.89333333,-2.09,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationCHLTNHM,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationCHLTNHM1,http://purl.org/rail/is/TCLocation,86.91,51.89,-2.093333333,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationCHLTNHM2,http://purl.org/rail/is/TCLocation,87.1,51.89,-2.096666667,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationCHLTLDL,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationCHLTLDL1,http://purl.org/rail/is/TCLocation,88.93,51.88,-2.136666667,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationCHLTLDL2,http://purl.org/rail/is/TCLocation,90.57,51.87,-2.173333333,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationBNWDJN,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationBNWDJN1,http://purl.org/rail/is/TCLocation,92.32333333,51.86,-2.213333333,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationBNWDJN2,http://purl.org/rail/is/TCLocation,92.43666667,51.86,-2.216666667,http://purl.org/rail/resource/LineRefBAG1
